,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Style name,American Ligth Lager,American Lager,Cream Ale,American Wheat Beer,International Pale Lager,International Amber Lager,International Dark Lager,Czech Pale Lager,Czech Premium Pale Lager,Czech Amber Lager,Czech Dark Lager,Munich Helles,Festbier,Helles Bock,German Leichtbier,Kolsch,German Helles Exportbier,German Pils,Marzen,Rauchbier,Dunkles Bock,Vienna Lager,Altbier,Pale Kellerbier,Amber Kellerbier,Munich Dunkel,Schwarzbier,Doppelbock,Eisbock,Baltic Porter,Weissbier,Dunkles Weissbier,Weizenbock,Ordinary Bitter,Best Bitter,Strong Bitter,British Golden Ale,Australian Sparkling Ale,English IPA,Dark Mild,British Brown Ale,English Porter,Scottish Ligth,Scottish Heavy,Scottish Export,Irish Red Ale,Irish Stout,Irish Extra Stout,Sweet Stout,Oatmeal Stout,Tropical Stout,Foreign Extra Stout,British Strong Ale,Old Ale,Wee Heavy,English Barleywine,Blonde Ale,American Pale Ale,American Amber Ale,California Common,American Brown Ale,American Porter,American Stout,Imperial Stout,American IPA,Belgian IPA,Black IPA,Brown IPA,Red IPA,Rye IPA,White IPA,Double IPA,American Strong Ale,American Barleywine,Wheatwine,Berliner Weisse,Flanders Red Ale,Oud Bruin,Lambic,Gueuze,Fruit Lambic,Witbier,Belgian Pale Ale,Biere de Garde,Belgian Blond Ale,Pale Saison,Dark Saison,Belgian Golden Strong Ale,Trappist Single,Belgian Dubbel,Belgian Tripel,Belgian dark Strong Ale,Gose,Kentucky Common,Lichtenhainer,London Brown Ale,Piwo Grodziskie,Pre-Prohibition Lager,Pre-Prohibition Porter,Roggenbier,Sahti
OG min,1028,1040,1042,1040,1042,1042,1044,1028,1044,1044,1044,1044,1054,1064,1026,1044,1048,1044,1054,1050,1064,1048,1044,1045,1048,1048,1046,1072,1078,1060,1044,1044,1064,1030,1040,1048,1038,1038,1050,1030,1040,1040,1030,1035,1040,1036,1036,1052,1044,1045,1056,1056,1055,1055,1070,1080,1038,1045,1045,1048,1045,1050,1050,1075,1056,1058,1050,1056,1056,1056,1056,1065,1062,1080,1080,1028,1048,1040,1040,1040,1040,1044,1048,1060,1062,1048,1048,1070,1044,1062,1075,1075,1036,1044,1032,1033,1028,1044,1046,1046,1076
OG max,1040,1050,1055,1055,1050,1055,1056,1044,1060,1060,1060,1048,1057,1072,1034,1050,1056,1050,1060,1057,1072,1055,1052,1051,1054,1056,1052,1112,1120,1090,1052,1056,1090,1039,1048,1060,1053,1050,1075,1038,1052,1052,1035,1040,1060,1046,1044,1062,1060,1065,1075,1075,1080,1088,1130,1120,1054,1060,1060,1054,1060,1070,1075,1115,1070,1080,1085,1070,1070,1075,1065,1085,1090,1120,1120,1032,1057,1074,1054,1060,1060,1052,1054,1080,1075,1065,1065,1095,1054,1075,1085,1110,1056,1055,1040,1038,1032,1060,1060,1056,1120
FG min,998,1004,1006,1008,1008,1008,1008,1008,1013,1013,1013,1006,1010,1011,1006,1007,1010,1008,1010,1012,1013,1010,1008,1008,1012,1010,1010,1016,1020,1016,1010,1010,1015,1007,1008,1010,1006,1004,1010,1008,1008,1008,1010,1010,1010,1010,1007,1010,1012,1010,1010,1010,1015,1015,1018,1018,1008,1010,1010,1011,1010,1012,1010,1018,1008,1008,1010,1008,1008,1008,1010,1008,1014,1016,1016,1003,1002,1008,1001,1000,1000,1008,1010,1008,1008,1002,1002,1005,1004,1008,1008,1010,1006,1010,1004,1012,1006,1010,1010,1010,1016
FG max,1008,1010,1012,1013,1012,1014,1012,1014,1017,1017,1017,1012,1012,1018,1010,1011,1015,1013,1014,1016,1019,1014,1014,1012,1016,1016,1016,1024,1035,1024,1014,1014,1022,1011,1012,1016,1012,1006,1018,1013,1013,1014,1013,1015,1016,1014,1011,1014,1024,1018,1018,1018,1022,1022,1040,1030,1013,1015,1015,1014,1016,1018,1022,1030,1014,1016,1018,1016,1016,1014,1016,1018,1024,1030,1030,1006,1012,1012,1010,1006,1010,1012,1014,1016,1018,1008,1008,1016,1010,1018,1014,1024,1010,1018,1008,1015,1012,1015,1016,1014,1020
IBU min,8,8,8,15,18,8,8,20,30,20,18,16,18,23,15,18,20,22,18,20,20,18,25,20,25,18,20,16,25,20,8,10,15,25,25,30,20,20,40,10,20,18,10,10,15,18,25,35,20,25,30,50,30,30,17,35,15,30,25,30,20,25,35,50,40,50,50,40,40,50,40,60,50,50,30,3,10,20,0,0,0,8,20,18,15,20,20,22,25,15,20,20,5,15,5,15,20,25,20,10,7
IBU max,12,18,20,30,25,25,20,35,45,35,34,22,25,35,28,30,30,40,24,30,27,30,50,35,40,28,30,26,35,40,15,18,30,35,40,50,45,35,60,25,30,35,20,20,30,28,45,50,40,40,50,70,60,60,35,70,28,50,40,45,30,50,75,90,70,100,90,70,70,75,70,120,100,100,60,8,25,25,10,10,10,20,30,28,30,35,35,35,45,25,40,35,12,30,12,20,35,40,30,20,15
SRM min,2,2,2.5,3,2,7,14,3,3.5,10,14,3,4,6,2,3.5,4,2,8,12,14,9,11,3,7,14,17,6,18,17,2,14,6,8,8,8,2,4,6,12,12,20,17,13,13,9,25,25,30,22,30,30,8,10,14,8,3,5,10,10,18,22,30,30,6,5,25,11,11,6,5,6,7,10,8,2,10,15,3,3,3,2,8,6,4,5,15,3,3,10,4.5,12,3,11,3,22,3,3,18,14,4
SRM max,3,4,5,6,6,14,22,6,6,16,35,5,7,11,5,5,7,5,17,22,22,15,17,7,17,28,30,25,30,30,6,23,25,14,16,18,6,7,14,25,22,30,22,22,22,14,40,40,40,40,40,40,22,22,25,22,6,10,17,14,35,40,40,40,14,15,40,19,19,14,8,14,19,19,15,3,16,22,7,7,7,4,14,19,7,14,22,6,5,17,7,22,4,20,6,35,6,6,30,19,22
ABV min,2.80,4.20,4.20,4.00,4.60,4.60,4.20,3.00,4.20,4.40,4.40,4.70,5.80,6.30,2.40,4.40,4.80,4.40,5.80,4.80,6.30,4.70,4.30,4.70,4.80,4.50,4.40,7.00,9.00,6.50,4.30,4.30,6.50,3.20,3.80,4.60,3.80,4.50,5.00,3.00,4.20,4.00,2.50,3.20,3.90,3.80,4.00,5.50,4.00,4.20,5.50,6.30,5.50,5.50,6.50,8.00,3.80,4.50,4.50,4.50,4.30,4.80,5.00,8.00,5.50,6.20,5.50,5.50,5.50,5.50,5.50,7.50,6.30,8.00,8.00,2.80,4.60,4.00,5.00,5.00,5.00,4.50,4.80,6.00,6.00,3.50,3.50,7.50,4.80,6.00,7.50,8.00,4.20,4.00,3.50,2.80,2.50,4.50,4.50,4.50,7.00
ABV max,4.20,5.30,5.60,5.50,6.00,6.00,6.00,4.10,5.80,5.80,5.80,5.40,6.30,7.40,3.60,5.20,6.00,5.20,6.30,6.00,7.20,5.50,5.50,5.40,5.40,5.60,5.40,10.00,14.00,9.50,5.60,5.60,9.00,3.80,4.60,6.20,5.00,6.00,7.50,3.80,5.40,5.40,3.20,3.90,6.00,5.00,4.50,6.50,6.00,5.90,8.00,8.00,8.00,9.00,10.00,12.00,5.50,6.20,6.20,5.50,6.20,6.50,7.00,12.00,7.50,9.50,9.00,7.50,7.50,8.00,7.00,10.00,10.00,12.00,12.00,3.80,6.50,8.00,6.30,8.00,7.00,5.50,5.50,8.50,7.50,9.50,9.50,10.50,6.00,7.60,9.50,12.00,4.80,5.50,4.70,3.60,3.30,6.00,6.00,6.00,11.00
